gene,compound,dpS,ci_lo,ci_hi,n_wt,n_mut,pass_point,pass_excl0,pass_ci_le2
PTEN,12-O-tetradecanoylphorbol-13-acetate,-3.608,-5.716,-1.509,75,3,True,True,False
PTEN,8-hydroxy-PIPAT,-3.487,-5.415,-1.722,85,3,True,True,False
PTEN,A61603,-2.262,-3.291,-1.253,82,3,True,True,False
PTEN,ACY-1215,-3.219,-4.498,-1.992,84,3,True,True,False
PTEN,AZ-628,-3.055,-9.306,5.423,87,3,True,False,False
PTEN,AZ3146,-3.386,-4.68,-2.185,85,3,True,True,True
PTEN,AZD9668,-2.186,-3.43,-1.049,82,3,True,True,False
PTEN,CNX-774,-3.84,-5.032,-2.707,82,3,True,True,True
PTEN,FLI-06,-2.486,-3.749,-1.39,84,3,True,True,False
PTEN,GSK2110183,-3.888,-7.603,-0.676,81,3,True,True,False
PTEN,GSK461364,-2.117,-2.975,-1.335,88,3,True,True,False
PTEN,GSK650394,-2.203,-3.428,-1.1,87,3,True,True,False
PTEN,KI-8751,-2.031,-3.185,-0.937,86,3,True,True,False
PTEN,KW-2449,-2.255,-3.35,-1.262,84,3,True,True,False
PTEN,"L-798,106",-3.039,-4.236,-1.898,81,3,True,True,False
PTEN,MK-1775,-3.616,-8.137,-0.708,90,3,True,True,False
PTEN,NVP-AUY922,-2.391,-3.757,-1.061,90,3,True,True,False
PTEN,PETCM,-2.038,-3.409,-0.626,79,3,True,True,False
PTEN,PPT,-2.178,-3.496,-1.052,80,3,True,True,False
PTEN,PTC-209,-2.666,-3.916,-1.555,81,3,True,True,False
PTEN,R406,-2.298,-3.567,-1.133,84,3,True,True,False
PTEN,RAF265,-2.42,-3.641,-1.352,86,3,True,True,False
PTEN,RS-504393,-4.035,-5.936,-2.306,84,3,True,True,True
PTEN,SAR131675,-3.934,-5.138,-2.81,82,3,True,True,True
PTEN,SB-205384,-3.974,-5.358,-2.609,87,3,True,True,True
PTEN,SB-216641,-2.054,-11.497,6.418,87,3,True,False,False
